Aspect,Polarity,Summary,lat,lng,name,business_status,address,types,user_ratings_total,#charging_stations,text,avg_rating
price and cost,Negative,"48 cents per kilowatt is pretty pricey, quite expensive, paid 26 bucks]",42.229493,-83.6492643,Electrify America Charging Station,OPERATIONAL,"2539 Ellsworth Rd, Ypsilanti, MI 48197, USA","point_of_interest, establishment",35,5,"Charged BMW i3 with no issues.  Charge rate was 49kW on a 350kW charger 🔌Charger worked great, but 48 cents per kilowatt is pretty pricey. Luckily I'm using some of my free juice from Ford so it doesn't hurt. Lol Got 119kw speed out of the 350kw charger, which is what the Lightning was asking for. Needs pull thru spaces for those towing a trailer. I had to block the aisle behind me to be in a stall.Quick charger. A different car pulled up and needed to try 5 different stations to find one that works, but not sure if that was the auto or the stations. No problems for me. Ran a smooth 82kw up to 72%.Excellent location well lit , safe and secure. Never find it busy. Charging speed is around 78 to 200 kw on mache. However quite expensive. For 40 minutes charging paid 26 bucks. Gained 150 additional miles. Not bad speed at all but little expensive.These chargers have recently been updated, they seem to be working decently. I'm averaging 100kw and have seen 130. My car is capable of 150. Ish.  Still working fairly well.  The chademo charger is usually broken. Though.",4.4
accessibility and availability,Positive,"Charger worked great, Excellent location well lit, safe and secure, Never find it busy, Still working fairly well]",42.229493,-83.6492643,Electrify America Charging Station,OPERATIONAL,"2539 Ellsworth Rd, Ypsilanti, MI 48197, USA","point_of_interest, establishment",35,5,"Charged BMW i3 with no issues.  Charge rate was 49kW on a 350kW charger 🔌Charger worked great, but 48 cents per kilowatt is pretty pricey. Luckily I'm using some of my free juice from Ford so it doesn't hurt. Lol Got 119kw speed out of the 350kw charger, which is what the Lightning was asking for. Needs pull thru spaces for those towing a trailer. I had to block the aisle behind me to be in a stall.Quick charger. A different car pulled up and needed to try 5 different stations to find one that works, but not sure if that was the auto or the stations. No problems for me. Ran a smooth 82kw up to 72%.Excellent location well lit , safe and secure. Never find it busy. Charging speed is around 78 to 200 kw on mache. However quite expensive. For 40 minutes charging paid 26 bucks. Gained 150 additional miles. Not bad speed at all but little expensive.These chargers have recently been updated, they seem to be working decently. I'm averaging 100kw and have seen 130. My car is capable of 150. Ish.  Still working fairly well.  The chademo charger is usually broken. Though.",4.4
compatibility and connectivity,Negative,chademo charger is usually broken],42.229493,-83.6492643,Electrify America Charging Station,OPERATIONAL,"2539 Ellsworth Rd, Ypsilanti, MI 48197, USA","point_of_interest, establishment",35,5,"Charged BMW i3 with no issues.  Charge rate was 49kW on a 350kW charger 🔌Charger worked great, but 48 cents per kilowatt is pretty pricey. Luckily I'm using some of my free juice from Ford so it doesn't hurt. Lol Got 119kw speed out of the 350kw charger, which is what the Lightning was asking for. Needs pull thru spaces for those towing a trailer. I had to block the aisle behind me to be in a stall.Quick charger. A different car pulled up and needed to try 5 different stations to find one that works, but not sure if that was the auto or the stations. No problems for me. Ran a smooth 82kw up to 72%.Excellent location well lit , safe and secure. Never find it busy. Charging speed is around 78 to 200 kw on mache. However quite expensive. For 40 minutes charging paid 26 bucks. Gained 150 additional miles. Not bad speed at all but little expensive.These chargers have recently been updated, they seem to be working decently. I'm averaging 100kw and have seen 130. My car is capable of 150. Ish.  Still working fairly well.  The chademo charger is usually broken. Though.",4.4
queue and waiting time,Negative,needed to try 5 different stations to find one that works],42.229493,-83.6492643,Electrify America Charging Station,OPERATIONAL,"2539 Ellsworth Rd, Ypsilanti, MI 48197, USA","point_of_interest, establishment",35,5,"Charged BMW i3 with no issues.  Charge rate was 49kW on a 350kW charger 🔌Charger worked great, but 48 cents per kilowatt is pretty pricey. Luckily I'm using some of my free juice from Ford so it doesn't hurt. Lol Got 119kw speed out of the 350kw charger, which is what the Lightning was asking for. Needs pull thru spaces for those towing a trailer. I had to block the aisle behind me to be in a stall.Quick charger. A different car pulled up and needed to try 5 different stations to find one that works, but not sure if that was the auto or the stations. No problems for me. Ran a smooth 82kw up to 72%.Excellent location well lit , safe and secure. Never find it busy. Charging speed is around 78 to 200 kw on mache. However quite expensive. For 40 minutes charging paid 26 bucks. Gained 150 additional miles. Not bad speed at all but little expensive.These chargers have recently been updated, they seem to be working decently. I'm averaging 100kw and have seen 130. My car is capable of 150. Ish.  Still working fairly well.  The chademo charger is usually broken. Though.",4.4
safety,Positive,"well lit, safe and secure]",42.229493,-83.6492643,Electrify America Charging Station,OPERATIONAL,"2539 Ellsworth Rd, Ypsilanti, MI 48197, USA","point_of_interest, establishment",35,5,"Charged BMW i3 with no issues.  Charge rate was 49kW on a 350kW charger 🔌Charger worked great, but 48 cents per kilowatt is pretty pricey. Luckily I'm using some of my free juice from Ford so it doesn't hurt. Lol Got 119kw speed out of the 350kw charger, which is what the Lightning was asking for. Needs pull thru spaces for those towing a trailer. I had to block the aisle behind me to be in a stall.Quick charger. A different car pulled up and needed to try 5 different stations to find one that works, but not sure if that was the auto or the stations. No problems for me. Ran a smooth 82kw up to 72%.Excellent location well lit , safe and secure. Never find it busy. Charging speed is around 78 to 200 kw on mache. However quite expensive. For 40 minutes charging paid 26 bucks. Gained 150 additional miles. Not bad speed at all but little expensive.These chargers have recently been updated, they seem to be working decently. I'm averaging 100kw and have seen 130. My car is capable of 150. Ish.  Still working fairly well.  The chademo charger is usually broken. Though.",4.4
charging speed and efficiency,Positive,speeds up to 600mi,42.23278930000001,-83.6785266,Tesla Supercharger,OPERATIONAL,"Carpenter Rd #3825, Ypsilanti, MI 48197, USA","point_of_interest, establishment",14,5,"Not sure what the bad reviews are about, everything seems to work as it should for me. Only one here at 5 in the afternoon, and parked in the shade of a tree. 5🌟Update (March 2022) It appears some of the issues have been resolved. I am now seeing speeds up to 600mi/hr at 125kw. Hopefully this is the new standard for this station.  This station appears to be getting worse. Upon opening, chargers would max out at around 400 mi/hr. About a month later that was down to roughly 275 mi/hour. Now the best I have seen is 130 mi/hr at 40kw. Have tested multiple stalls each time, at varying levels of charge, with and without preconditioning the battery.This charger’s nicer now that Meijer’s nicer and I can get Starbucks at Target!Lights are not turned on  at the Meijer parking lot where the Superchargers are. No very safe.Rarely busy, always clean, no charging speed issues.",3.8
amenities and location,Negative,Lights are not turned on at the Meijer parking lot],42.23278930000001,-83.6785266,Tesla Supercharger,OPERATIONAL,"Carpenter Rd #3825, Ypsilanti, MI 48197, USA","point_of_interest, establishment",14,5,"Not sure what the bad reviews are about, everything seems to work as it should for me. Only one here at 5 in the afternoon, and parked in the shade of a tree. 5🌟Update (March 2022) It appears some of the issues have been resolved. I am now seeing speeds up to 600mi/hr at 125kw. Hopefully this is the new standard for this station.  This station appears to be getting worse. Upon opening, chargers would max out at around 400 mi/hr. About a month later that was down to roughly 275 mi/hour. Now the best I have seen is 130 mi/hr at 40kw. Have tested multiple stalls each time, at varying levels of charge, with and without preconditioning the battery.This charger’s nicer now that Meijer’s nicer and I can get Starbucks at Target!Lights are not turned on  at the Meijer parking lot where the Superchargers are. No very safe.Rarely busy, always clean, no charging speed issues.",3.8
safety,Negative,No very safe],42.23278930000001,-83.6785266,Tesla Supercharger,OPERATIONAL,"Carpenter Rd #3825, Ypsilanti, MI 48197, USA","point_of_interest, establishment",14,5,"Not sure what the bad reviews are about, everything seems to work as it should for me. Only one here at 5 in the afternoon, and parked in the shade of a tree. 5🌟Update (March 2022) It appears some of the issues have been resolved. I am now seeing speeds up to 600mi/hr at 125kw. Hopefully this is the new standard for this station.  This station appears to be getting worse. Upon opening, chargers would max out at around 400 mi/hr. About a month later that was down to roughly 275 mi/hour. Now the best I have seen is 130 mi/hr at 40kw. Have tested multiple stalls each time, at varying levels of charge, with and without preconditioning the battery.This charger’s nicer now that Meijer’s nicer and I can get Starbucks at Target!Lights are not turned on  at the Meijer parking lot where the Superchargers are. No very safe.Rarely busy, always clean, no charging speed issues.",3.8
queue and waiting time,Positive,Rarely busy],42.23278930000001,-83.6785266,Tesla Supercharger,OPERATIONAL,"Carpenter Rd #3825, Ypsilanti, MI 48197, USA","point_of_interest, establishment",14,5,"Not sure what the bad reviews are about, everything seems to work as it should for me. Only one here at 5 in the afternoon, and parked in the shade of a tree. 5🌟Update (March 2022) It appears some of the issues have been resolved. I am now seeing speeds up to 600mi/hr at 125kw. Hopefully this is the new standard for this station.  This station appears to be getting worse. Upon opening, chargers would max out at around 400 mi/hr. About a month later that was down to roughly 275 mi/hour. Now the best I have seen is 130 mi/hr at 40kw. Have tested multiple stalls each time, at varying levels of charge, with and without preconditioning the battery.This charger’s nicer now that Meijer’s nicer and I can get Starbucks at Target!Lights are not turned on  at the Meijer parking lot where the Superchargers are. No very safe.Rarely busy, always clean, no charging speed issues.",3.8
reliability and maintenance,Positive,always clean],42.23278930000001,-83.6785266,Tesla Supercharger,OPERATIONAL,"Carpenter Rd #3825, Ypsilanti, MI 48197, USA","point_of_interest, establishment",14,5,"Not sure what the bad reviews are about, everything seems to work as it should for me. Only one here at 5 in the afternoon, and parked in the shade of a tree. 5🌟Update (March 2022) It appears some of the issues have been resolved. I am now seeing speeds up to 600mi/hr at 125kw. Hopefully this is the new standard for this station.  This station appears to be getting worse. Upon opening, chargers would max out at around 400 mi/hr. About a month later that was down to roughly 275 mi/hour. Now the best I have seen is 130 mi/hr at 40kw. Have tested multiple stalls each time, at varying levels of charge, with and without preconditioning the battery.This charger’s nicer now that Meijer’s nicer and I can get Starbucks at Target!Lights are not turned on  at the Meijer parking lot where the Superchargers are. No very safe.Rarely busy, always clean, no charging speed issues.",3.8
charging speed and efficiency,Negative,no charging speed issues],42.23278930000001,-83.6785266,Tesla Supercharger,OPERATIONAL,"Carpenter Rd #3825, Ypsilanti, MI 48197, USA","point_of_interest, establishment",14,5,"Not sure what the bad reviews are about, everything seems to work as it should for me. Only one here at 5 in the afternoon, and parked in the shade of a tree. 5🌟Update (March 2022) It appears some of the issues have been resolved. I am now seeing speeds up to 600mi/hr at 125kw. Hopefully this is the new standard for this station.  This station appears to be getting worse. Upon opening, chargers would max out at around 400 mi/hr. About a month later that was down to roughly 275 mi/hour. Now the best I have seen is 130 mi/hr at 40kw. Have tested multiple stalls each time, at varying levels of charge, with and without preconditioning the battery.This charger’s nicer now that Meijer’s nicer and I can get Starbucks at Target!Lights are not turned on  at the Meijer parking lot where the Superchargers are. No very safe.Rarely busy, always clean, no charging speed issues.",3.8
charging speed and efficiency,Negative,"First did not work, charge station 1 charges 50kwh and charge station 2 charges 25kwh]",42.2405142,-83.7660396,ChargePoint Charging Station,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48108, USA","point_of_interest, establishment",9,5,"2 stations only, both seem old. First did not work and app was not working to start chargingGreat location. The screen was scratched but still worked.Worst user experience ever. Charge station 1 charges 50kwh and charge station 2 charges 25kwh. Non of the charger have indication of such information.I had a rental and didn't realize I'd have to download an app and put my info on it to use the chatting station. Other than that it charged very quickly as I was almost out of battery life.I like the location but my level 2 charger could not connect here because they have Level 3 or DC fast charge connectors and have not provided Level 2 connectors.  It would be nice to use if I could connect.",2.2
user-interface and mobile app,Negative,"app was not working to start charging, had to download an app and put my info on it to use the charging station]",42.2405142,-83.7660396,ChargePoint Charging Station,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48108, USA","point_of_interest, establishment",9,5,"2 stations only, both seem old. First did not work and app was not working to start chargingGreat location. The screen was scratched but still worked.Worst user experience ever. Charge station 1 charges 50kwh and charge station 2 charges 25kwh. Non of the charger have indication of such information.I had a rental and didn't realize I'd have to download an app and put my info on it to use the chatting station. Other than that it charged very quickly as I was almost out of battery life.I like the location but my level 2 charger could not connect here because they have Level 3 or DC fast charge connectors and have not provided Level 2 connectors.  It would be nice to use if I could connect.",2.2
reliability and maintenance,Positive,The screen was scratched but still worked],42.2405142,-83.7660396,ChargePoint Charging Station,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48108, USA","point_of_interest, establishment",9,5,"2 stations only, both seem old. First did not work and app was not working to start chargingGreat location. The screen was scratched but still worked.Worst user experience ever. Charge station 1 charges 50kwh and charge station 2 charges 25kwh. Non of the charger have indication of such information.I had a rental and didn't realize I'd have to download an app and put my info on it to use the chatting station. Other than that it charged very quickly as I was almost out of battery life.I like the location but my level 2 charger could not connect here because they have Level 3 or DC fast charge connectors and have not provided Level 2 connectors.  It would be nice to use if I could connect.",2.2
accessibility and availability,Positive,Great location],42.2405142,-83.7660396,ChargePoint Charging Station,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48108, USA","point_of_interest, establishment",9,5,"2 stations only, both seem old. First did not work and app was not working to start chargingGreat location. The screen was scratched but still worked.Worst user experience ever. Charge station 1 charges 50kwh and charge station 2 charges 25kwh. Non of the charger have indication of such information.I had a rental and didn't realize I'd have to download an app and put my info on it to use the chatting station. Other than that it charged very quickly as I was almost out of battery life.I like the location but my level 2 charger could not connect here because they have Level 3 or DC fast charge connectors and have not provided Level 2 connectors.  It would be nice to use if I could connect.",2.2
compatibility and connectivity,Negative,my level 2 charger could not connect here because they have Level 3 or DC fast charge connectors and have not provided Level 2 connectors],42.2405142,-83.7660396,ChargePoint Charging Station,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48108, USA","point_of_interest, establishment",9,5,"2 stations only, both seem old. First did not work and app was not working to start chargingGreat location. The screen was scratched but still worked.Worst user experience ever. Charge station 1 charges 50kwh and charge station 2 charges 25kwh. Non of the charger have indication of such information.I had a rental and didn't realize I'd have to download an app and put my info on it to use the chatting station. Other than that it charged very quickly as I was almost out of battery life.I like the location but my level 2 charger could not connect here because they have Level 3 or DC fast charge connectors and have not provided Level 2 connectors.  It would be nice to use if I could connect.",2.2
accessibility and availability,Positive,Perfectly situated off of I-94],42.24112499999999,-83.766522,Tesla Supercharger,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48103, USA","point_of_interest, establishment",91,5,"Perfectly situated off of I-94 and pretty good charging speeds. 440 miles/hour currently.  I usually see around 270 on average when charging beyond 40%.  EDIT: Hit 500 mark today (May) :OIt has by far the longest charge times of all the superchargers in southeast Mi. Probably because it’s limited by some silly washtenaw county governmental entity policy.Use to charge here everyday when I was in college. Reliable as I could walk to Starbucks to study or go to Meijer for grocery run. 2 years ago I sold my Tesla and heard the huge price jump as back then was like .23c but recently I visited and someone told me .53c which I know it would have contributed me not getting a Tesla back in college days. Tesla needs to get pricing in order especially for ppl who cant charge at homeEasily walk to meijer gas station, but the chargers were slow both times I was there.  Once at 15% and 0nce at 5%Usually has chargers available and it's quick off and on the highway.. This is one of my go-to charging locations.  Could use overhead shelter but I haven't seen that frequently at any chargers. Lots of decent food options and a short walk to Mejier.",3.8
charging speed and efficiency,Positive,pretty good charging speeds],42.24112499999999,-83.766522,Tesla Supercharger,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48103, USA","point_of_interest, establishment",91,5,"Perfectly situated off of I-94 and pretty good charging speeds. 440 miles/hour currently.  I usually see around 270 on average when charging beyond 40%.  EDIT: Hit 500 mark today (May) :OIt has by far the longest charge times of all the superchargers in southeast Mi. Probably because it’s limited by some silly washtenaw county governmental entity policy.Use to charge here everyday when I was in college. Reliable as I could walk to Starbucks to study or go to Meijer for grocery run. 2 years ago I sold my Tesla and heard the huge price jump as back then was like .23c but recently I visited and someone told me .53c which I know it would have contributed me not getting a Tesla back in college days. Tesla needs to get pricing in order especially for ppl who cant charge at homeEasily walk to meijer gas station, but the chargers were slow both times I was there.  Once at 15% and 0nce at 5%Usually has chargers available and it's quick off and on the highway.. This is one of my go-to charging locations.  Could use overhead shelter but I haven't seen that frequently at any chargers. Lots of decent food options and a short walk to Mejier.",3.8
charging speed and efficiency,Positive,440 miles,42.24112499999999,-83.766522,Tesla Supercharger,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48103, USA","point_of_interest, establishment",91,5,"Perfectly situated off of I-94 and pretty good charging speeds. 440 miles/hour currently.  I usually see around 270 on average when charging beyond 40%.  EDIT: Hit 500 mark today (May) :OIt has by far the longest charge times of all the superchargers in southeast Mi. Probably because it’s limited by some silly washtenaw county governmental entity policy.Use to charge here everyday when I was in college. Reliable as I could walk to Starbucks to study or go to Meijer for grocery run. 2 years ago I sold my Tesla and heard the huge price jump as back then was like .23c but recently I visited and someone told me .53c which I know it would have contributed me not getting a Tesla back in college days. Tesla needs to get pricing in order especially for ppl who cant charge at homeEasily walk to meijer gas station, but the chargers were slow both times I was there.  Once at 15% and 0nce at 5%Usually has chargers available and it's quick off and on the highway.. This is one of my go-to charging locations.  Could use overhead shelter but I haven't seen that frequently at any chargers. Lots of decent food options and a short walk to Mejier.",3.8
charging speed and efficiency,Positive,270 on average when charging beyond 40%],42.24112499999999,-83.766522,Tesla Supercharger,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48103, USA","point_of_interest, establishment",91,5,"Perfectly situated off of I-94 and pretty good charging speeds. 440 miles/hour currently.  I usually see around 270 on average when charging beyond 40%.  EDIT: Hit 500 mark today (May) :OIt has by far the longest charge times of all the superchargers in southeast Mi. Probably because it’s limited by some silly washtenaw county governmental entity policy.Use to charge here everyday when I was in college. Reliable as I could walk to Starbucks to study or go to Meijer for grocery run. 2 years ago I sold my Tesla and heard the huge price jump as back then was like .23c but recently I visited and someone told me .53c which I know it would have contributed me not getting a Tesla back in college days. Tesla needs to get pricing in order especially for ppl who cant charge at homeEasily walk to meijer gas station, but the chargers were slow both times I was there.  Once at 15% and 0nce at 5%Usually has chargers available and it's quick off and on the highway.. This is one of my go-to charging locations.  Could use overhead shelter but I haven't seen that frequently at any chargers. Lots of decent food options and a short walk to Mejier.",3.8
reliability and maintenance,Positive,Reliable],42.24112499999999,-83.766522,Tesla Supercharger,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48103, USA","point_of_interest, establishment",91,5,"Perfectly situated off of I-94 and pretty good charging speeds. 440 miles/hour currently.  I usually see around 270 on average when charging beyond 40%.  EDIT: Hit 500 mark today (May) :OIt has by far the longest charge times of all the superchargers in southeast Mi. Probably because it’s limited by some silly washtenaw county governmental entity policy.Use to charge here everyday when I was in college. Reliable as I could walk to Starbucks to study or go to Meijer for grocery run. 2 years ago I sold my Tesla and heard the huge price jump as back then was like .23c but recently I visited and someone told me .53c which I know it would have contributed me not getting a Tesla back in college days. Tesla needs to get pricing in order especially for ppl who cant charge at homeEasily walk to meijer gas station, but the chargers were slow both times I was there.  Once at 15% and 0nce at 5%Usually has chargers available and it's quick off and on the highway.. This is one of my go-to charging locations.  Could use overhead shelter but I haven't seen that frequently at any chargers. Lots of decent food options and a short walk to Mejier.",3.8
amenities and location,Positive,could walk to Starbucks to study or go to Meijer for grocery run],42.24112499999999,-83.766522,Tesla Supercharger,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48103, USA","point_of_interest, establishment",91,5,"Perfectly situated off of I-94 and pretty good charging speeds. 440 miles/hour currently.  I usually see around 270 on average when charging beyond 40%.  EDIT: Hit 500 mark today (May) :OIt has by far the longest charge times of all the superchargers in southeast Mi. Probably because it’s limited by some silly washtenaw county governmental entity policy.Use to charge here everyday when I was in college. Reliable as I could walk to Starbucks to study or go to Meijer for grocery run. 2 years ago I sold my Tesla and heard the huge price jump as back then was like .23c but recently I visited and someone told me .53c which I know it would have contributed me not getting a Tesla back in college days. Tesla needs to get pricing in order especially for ppl who cant charge at homeEasily walk to meijer gas station, but the chargers were slow both times I was there.  Once at 15% and 0nce at 5%Usually has chargers available and it's quick off and on the highway.. This is one of my go-to charging locations.  Could use overhead shelter but I haven't seen that frequently at any chargers. Lots of decent food options and a short walk to Mejier.",3.8
price and cost,Negative,huge price jump],42.24112499999999,-83.766522,Tesla Supercharger,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48103, USA","point_of_interest, establishment",91,5,"Perfectly situated off of I-94 and pretty good charging speeds. 440 miles/hour currently.  I usually see around 270 on average when charging beyond 40%.  EDIT: Hit 500 mark today (May) :OIt has by far the longest charge times of all the superchargers in southeast Mi. Probably because it’s limited by some silly washtenaw county governmental entity policy.Use to charge here everyday when I was in college. Reliable as I could walk to Starbucks to study or go to Meijer for grocery run. 2 years ago I sold my Tesla and heard the huge price jump as back then was like .23c but recently I visited and someone told me .53c which I know it would have contributed me not getting a Tesla back in college days. Tesla needs to get pricing in order especially for ppl who cant charge at homeEasily walk to meijer gas station, but the chargers were slow both times I was there.  Once at 15% and 0nce at 5%Usually has chargers available and it's quick off and on the highway.. This is one of my go-to charging locations.  Could use overhead shelter but I haven't seen that frequently at any chargers. Lots of decent food options and a short walk to Mejier.",3.8
price and cost,Negative,.53c],42.24112499999999,-83.766522,Tesla Supercharger,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48103, USA","point_of_interest, establishment",91,5,"Perfectly situated off of I-94 and pretty good charging speeds. 440 miles/hour currently.  I usually see around 270 on average when charging beyond 40%.  EDIT: Hit 500 mark today (May) :OIt has by far the longest charge times of all the superchargers in southeast Mi. Probably because it’s limited by some silly washtenaw county governmental entity policy.Use to charge here everyday when I was in college. Reliable as I could walk to Starbucks to study or go to Meijer for grocery run. 2 years ago I sold my Tesla and heard the huge price jump as back then was like .23c but recently I visited and someone told me .53c which I know it would have contributed me not getting a Tesla back in college days. Tesla needs to get pricing in order especially for ppl who cant charge at homeEasily walk to meijer gas station, but the chargers were slow both times I was there.  Once at 15% and 0nce at 5%Usually has chargers available and it's quick off and on the highway.. This is one of my go-to charging locations.  Could use overhead shelter but I haven't seen that frequently at any chargers. Lots of decent food options and a short walk to Mejier.",3.8
accessibility and availability,Positive,Easily walk to meijer gas station],42.24112499999999,-83.766522,Tesla Supercharger,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48103, USA","point_of_interest, establishment",91,5,"Perfectly situated off of I-94 and pretty good charging speeds. 440 miles/hour currently.  I usually see around 270 on average when charging beyond 40%.  EDIT: Hit 500 mark today (May) :OIt has by far the longest charge times of all the superchargers in southeast Mi. Probably because it’s limited by some silly washtenaw county governmental entity policy.Use to charge here everyday when I was in college. Reliable as I could walk to Starbucks to study or go to Meijer for grocery run. 2 years ago I sold my Tesla and heard the huge price jump as back then was like .23c but recently I visited and someone told me .53c which I know it would have contributed me not getting a Tesla back in college days. Tesla needs to get pricing in order especially for ppl who cant charge at homeEasily walk to meijer gas station, but the chargers were slow both times I was there.  Once at 15% and 0nce at 5%Usually has chargers available and it's quick off and on the highway.. This is one of my go-to charging locations.  Could use overhead shelter but I haven't seen that frequently at any chargers. Lots of decent food options and a short walk to Mejier.",3.8
charging speed and efficiency,Negative,chargers were slow both times],42.24112499999999,-83.766522,Tesla Supercharger,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48103, USA","point_of_interest, establishment",91,5,"Perfectly situated off of I-94 and pretty good charging speeds. 440 miles/hour currently.  I usually see around 270 on average when charging beyond 40%.  EDIT: Hit 500 mark today (May) :OIt has by far the longest charge times of all the superchargers in southeast Mi. Probably because it’s limited by some silly washtenaw county governmental entity policy.Use to charge here everyday when I was in college. Reliable as I could walk to Starbucks to study or go to Meijer for grocery run. 2 years ago I sold my Tesla and heard the huge price jump as back then was like .23c but recently I visited and someone told me .53c which I know it would have contributed me not getting a Tesla back in college days. Tesla needs to get pricing in order especially for ppl who cant charge at homeEasily walk to meijer gas station, but the chargers were slow both times I was there.  Once at 15% and 0nce at 5%Usually has chargers available and it's quick off and on the highway.. This is one of my go-to charging locations.  Could use overhead shelter but I haven't seen that frequently at any chargers. Lots of decent food options and a short walk to Mejier.",3.8
accessibility and availability,Positive,Usually has chargers available],42.24112499999999,-83.766522,Tesla Supercharger,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48103, USA","point_of_interest, establishment",91,5,"Perfectly situated off of I-94 and pretty good charging speeds. 440 miles/hour currently.  I usually see around 270 on average when charging beyond 40%.  EDIT: Hit 500 mark today (May) :OIt has by far the longest charge times of all the superchargers in southeast Mi. Probably because it’s limited by some silly washtenaw county governmental entity policy.Use to charge here everyday when I was in college. Reliable as I could walk to Starbucks to study or go to Meijer for grocery run. 2 years ago I sold my Tesla and heard the huge price jump as back then was like .23c but recently I visited and someone told me .53c which I know it would have contributed me not getting a Tesla back in college days. Tesla needs to get pricing in order especially for ppl who cant charge at homeEasily walk to meijer gas station, but the chargers were slow both times I was there.  Once at 15% and 0nce at 5%Usually has chargers available and it's quick off and on the highway.. This is one of my go-to charging locations.  Could use overhead shelter but I haven't seen that frequently at any chargers. Lots of decent food options and a short walk to Mejier.",3.8
amenities and location,Positive,quick off and on the highway],42.24112499999999,-83.766522,Tesla Supercharger,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48103, USA","point_of_interest, establishment",91,5,"Perfectly situated off of I-94 and pretty good charging speeds. 440 miles/hour currently.  I usually see around 270 on average when charging beyond 40%.  EDIT: Hit 500 mark today (May) :OIt has by far the longest charge times of all the superchargers in southeast Mi. Probably because it’s limited by some silly washtenaw county governmental entity policy.Use to charge here everyday when I was in college. Reliable as I could walk to Starbucks to study or go to Meijer for grocery run. 2 years ago I sold my Tesla and heard the huge price jump as back then was like .23c but recently I visited and someone told me .53c which I know it would have contributed me not getting a Tesla back in college days. Tesla needs to get pricing in order especially for ppl who cant charge at homeEasily walk to meijer gas station, but the chargers were slow both times I was there.  Once at 15% and 0nce at 5%Usually has chargers available and it's quick off and on the highway.. This is one of my go-to charging locations.  Could use overhead shelter but I haven't seen that frequently at any chargers. Lots of decent food options and a short walk to Mejier.",3.8
amenities and location,Positive,Lots of decent food options and a short walk to Mejier],42.24112499999999,-83.766522,Tesla Supercharger,OPERATIONAL,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48103, USA","point_of_interest, establishment",91,5,"Perfectly situated off of I-94 and pretty good charging speeds. 440 miles/hour currently.  I usually see around 270 on average when charging beyond 40%.  EDIT: Hit 500 mark today (May) :OIt has by far the longest charge times of all the superchargers in southeast Mi. Probably because it’s limited by some silly washtenaw county governmental entity policy.Use to charge here everyday when I was in college. Reliable as I could walk to Starbucks to study or go to Meijer for grocery run. 2 years ago I sold my Tesla and heard the huge price jump as back then was like .23c but recently I visited and someone told me .53c which I know it would have contributed me not getting a Tesla back in college days. Tesla needs to get pricing in order especially for ppl who cant charge at homeEasily walk to meijer gas station, but the chargers were slow both times I was there.  Once at 15% and 0nce at 5%Usually has chargers available and it's quick off and on the highway.. This is one of my go-to charging locations.  Could use overhead shelter but I haven't seen that frequently at any chargers. Lots of decent food options and a short walk to Mejier.",3.8
charging speed and efficiency,Positive,Super fast charging! Fills your batteries up very quick],42.244709,-83.738976,EVgo Charging Station,OPERATIONAL,"Shell, 2991 S State St, Ann Arbor, MI 48104, USA","point_of_interest, establishment",8,5,"Worked first time via evgo app. However, maxed out at 42kwh instead of 50.Super fast charging! Fills your batteries up very quick while draining your wallet. 12 minutes was almost five dollars. Very expense at 35 cents a minute.Great easy amd fast charger!!!  CCS connection and plug n charge with Chevy productsCouldn't get it to charge. Probably need to upgrade this one.Efficient! Easy to use!",4.4
price and cost,Negative,12 minutes was almost five dollars. Very expense at 35 cents a minute],42.244709,-83.738976,EVgo Charging Station,OPERATIONAL,"Shell, 2991 S State St, Ann Arbor, MI 48104, USA","point_of_interest, establishment",8,5,"Worked first time via evgo app. However, maxed out at 42kwh instead of 50.Super fast charging! Fills your batteries up very quick while draining your wallet. 12 minutes was almost five dollars. Very expense at 35 cents a minute.Great easy amd fast charger!!!  CCS connection and plug n charge with Chevy productsCouldn't get it to charge. Probably need to upgrade this one.Efficient! Easy to use!",4.4
